Policlinic,Message
Kardiyoloji,Fiziksel yorgunluk çok arttı nefesim yetmiyor
Kardiyoloji,Kalbimde bir tür basınç hissediyorum
Kardiyoloji,Bazen kalbim çok hızlı atıyor
Kardiyoloji,Göğsümde ağrı başladı
Kardiyoloji,Kalp atışlarım düzensizleşti
Kardiyoloji,Yürürken nefesim kesiliyor
Kardiyoloji,Ellerimde uyuşma ve soğukluk
Kardiyoloji,Baş dönmesi nedeniyle sık sık düşüyorum
Kardiyoloji,Göğsümde yanma hissediyorum
Kardiyoloji,Zaman zaman kalbimde çarpıntı oluyor
Kardiyoloji,Kalbim hızla atıyor endişeliyim
Kardiyoloji,Nefes almakta güçlük çekiyorum
Kardiyoloji,Göğsümde bir baskı nefes alamıyorum
Kardiyoloji,Kalp atışlarım bazen hızlanıyor bazen yavaşlıyor
Kardiyoloji,Bazen göğsümde keskin bir ağrı oluyor
Kardiyoloji,Ağır yemeklerden sonra nefes darlığı hissediyorum
Kardiyoloji,Yürürken aşırı yorgunluk hissediyorum
Kardiyoloji,Ağır egzersiz yaparken göğsümde ağrı oluyor
Kardiyoloji,Kalbimde ağrı ve baskı hissi
Kardiyoloji,Bazen nefesim yetmiyor bir şeyler oluyor
Kardiyoloji,Gece uykusuzluk nedeniyle kalbim hızlı atıyor
Kardiyoloji,Nefesim kesiliyor sanki göğsüm sıkışıyor
Kardiyoloji,Kısa mesafelerde bile nefes almakta zorlanıyorum
Kardiyoloji,Kalbimdeki ritim bozukluğu nedeniyle uyuyamıyorum
Kardiyoloji,Bazen ağrılarım kollara yayılıyor
Kardiyoloji,Göğsümde sıkışma acil müdahale gerekli mi?
Kardiyoloji,Kalp çarpıntısı nedeniyle endişeleniyorum
Kardiyoloji,Yürürken göğsümde ağrı hissediyorum
Kardiyoloji,Bazen gözlerimde bulanıklık görüyorum
Kardiyoloji,Ayaklarımda şişlik artıyor kalp problemi olabilir mi?
Kardiyoloji,Göğsümdeki ağrı çok şiddetli dayanılmaz
Kardiyoloji,Kalbimdeki çarpıntı
Kardiyoloji,Düzenli yürüyüş yapınca nefes almak zorlaşıyor
Kardiyoloji,Göğsümde ağrı hissediyorum nefes almakta zorlanıyorum
Kardiyoloji,Bazen kalbim hızlı çarpıyor ve çarpıntı hissediyorum
Kardiyoloji,Nefes almakta zorlanıyorum gece uykusuz kaldım
Kardiyoloji,Göğsümde baskı endişeleniyorum
Kardiyoloji,Fiziksel aktivite yapınca kalbim hızlanıyor
Kardiyoloji,Yüksek tansiyonum ara sıra baş dönmesi hissediyorum
Kardiyoloji,Kalbimde arada bir çarpıntı oluyor
Kardiyoloji,Nefes darlığı yaşadım çabuk yoruluyorum
Kardiyoloji,Geceleri kalbimde hızlı atışlar oluyor
Kardiyoloji,Ağır yemeklerden sonra kalbimde rahatsızlık hissediyorum
Kardiyoloji,Fiziksel yorgunluk nedeniyle sürekli halsiz hissediyorum
Kardiyoloji,Ağır yürüyüşler sırasında nefesim kesiliyor
Kardiyoloji,Göğsümde sanki sıkışma hissi nefes alamıyorum
Kardiyoloji,Yüksek sesle nefes alırken zorlanıyorum
Kardiyoloji,Ağır fiziksel aktiviteler sırasında kalbimde bir basınç hissediyorum
Kardiyoloji,Göğsümde şiddetli ağrı kalbim çarpıyor
Kardiyoloji,Yüksek tansiyon nedeniyle başım dönüyor
Kardiyoloji,Göğsümde bir daralma hissediyorum nefes almakta zorlanıyorum
Kardiyoloji,Bazen nefes almak çok zorlaşıyor panik hissi oluşturuyor
Kardiyoloji,Ayaklarımda şişlik uzun süre ayakta kaldım
Kardiyoloji,Hızlı koştuğumda nefes darlığı çekiyorum
Kardiyoloji,Bazen kalbimde düzensiz atışlar hissediyorum
Kardiyoloji,Nefes almada zorluk yaşıyorum kalbim çarpıyor
Kardiyoloji,Bazen öksürükle birlikte nefes almakta zorlanıyorum
Kardiyoloji,Kalbimde bir tür ağrı hissediyorum
Kardiyoloji,Yüksek tansiyonum nedeniyle başım ağrıyor ve bulanıklık görüyorum
Kardiyoloji,Yürürken zorlanıyorum bazen kalbimde ağrı oluyor
Kardiyoloji,Ağır yemeklerden sonra göğsümde baskı hissediyorum
Kardiyoloji,Kalbimde çarpıntı artıyor
Kardiyoloji,Gece boyunca kalbimde hızlı atışlar oluyor uyuyamıyorum
Kardiyoloji,Bazen göğsümde yanma hissediyorum nefes almak zorlaşıyor
Kardiyoloji,Sürekli yorgunum kalbimde bir rahatsızlık
Kardiyoloji,Nefes almak zorlaşıyor kalbimde sıkışma hissediyorum
Kardiyoloji,Başım dönüyor ve nefes almakta zorlanıyorum
Kardiyoloji,Kalbimde bazen hızlı atışlar oluyor kendimi kötü hissediyorum
Kardiyoloji,Ağır egzersiz yaparken kalbimde acı hissediyorum
Kardiyoloji,Bazen baş dönmesi ve halsizlik oluyor kalbim çarpıyor
Kardiyoloji,Kalbimde ritim bozukluğu bazen çarpıntı yapıyor
Kardiyoloji,Ayaklarımda şişlik artıyor acil bir durum olabilir mi?
Kardiyoloji,Yürürken zorlanıyorum kalbimde ağrı hissediyorum
Kardiyoloji,Göğsümde keskin bir ağrı oluyor bazen geçiyor
Kardiyoloji,Bazen çarpıntı nedeniyle çok endişeleniyorum
Kardiyoloji,Kalbimdeki ağrı zaman zaman sağ kola yayılıyor
Kardiyoloji,Nefesim kesiliyor ve kalbimde bir basınç hissediyorum
Kardiyoloji,Bazen kalbimde tıkanıklık hissediyorum
Kardiyoloji,Göğsümde acı çok yoğun hissediyorum
Kardiyoloji,Zaman zaman kalbimde ritim bozukluğu olduğunu hissediyorum
Kardiyoloji,Gece boyunca nefes darlığı yaşıyorum
Kardiyoloji,Göğsümdeki ağrı zaman zaman dayanılmaz hale geliyor
Kardiyoloji,Sürekli nefes darlığı hissediyorum çabuk yoruluyorum
Kardiyoloji,Baş dönmesi ve halsizlik ile birlikte nefes alırken zorlanıyorum
Dahiliye,Başım ağrıyor
Dahiliye,Mide bulantım
Dahiliye,Yorgunum
Dahiliye,Bazen mide ağrım oluyor
Dahiliye,Vücudumda halsizlik hissediyorum
Dahiliye,Baş dönmesi yaşıyorum
Dahiliye,Bazen nefes almakta zorlanıyorum
Dahiliye,Sürekli yorgunum
Dahiliye,Mide gazım
Dahiliye,Bazen uykusuzluk çekiyorum
Dahiliye,Bazen terleme oluyor
Dahiliye,Kaslarımda ağrı hissediyorum
Dahiliye,Daha fazla yemek yiyemiyorum
Dahiliye,Dışkımda değişiklik
Dahiliye,Sürekli susuyorum
Dahiliye,Bazen karnım ağrısı çekiyorum
Dahiliye,Vücudumda şişlik
Dahiliye,Yemek yerken zorlanıyorum
Dahiliye,Bazen öksürüyorum
Dahiliye,Sürekli uyumak istiyorum
Dahiliye,Sırtımda ağrı hissediyorum
Dahiliye,Bazen ateşim yükseliyor
Dahiliye,Vücudumda titreme
Dahiliye,Gözlerimde yanma hissediyorum
Dahiliye,karnım şişliği yaşıyorum
Dahiliye,Halsizlik hissediyorum
Dahiliye,Bazen nefesim kesiliyor
Dahiliye,Mide ekşimesi oluyor
Dahiliye,Bazen mide ağrısı çekiyorum
Dahiliye,İştahım kayboldu
Dahiliye,Çok su içiyorum
Dahiliye,Vücudumda ağrı
Dahiliye,Baş ağrım çok şiddetli
Dahiliye,Bazen gözlerimde bulanıklık oluyor
Dahiliye,Çok terliyorum
Dahiliye,karnım ağrım
Dahiliye,Bazen mide bulantısı oluyor
Dahiliye,Uyumakta zorlanıyorum
Dahiliye,Bazen gözlerimde ağrı hissediyorum
Dahiliye,Sürekli mide şişliği hissediyorum
Dahiliye,Ateşim düşük
Dahiliye,Bazen kulaklarımda uğultu oluyor
Dahiliye,Bazen karnım bölgemde ağrı oluyor
Dahiliye,Bazen sabahları başım dönüyor
Dahiliye,Bacaklarımda ağrı
Dahiliye,İştahsızlık çekiyorum
Dahiliye,Gözlerimde kuruluk hissediyorum
Dahiliye,Bazen kulaklarımda basınç hissediyorum
Dahiliye,Sürekli mide ekşimesi oluyor
Dahiliye,Bazen sırtımda ağrı oluyor
Dahiliye,Bacaklarımda şişlik hissediyorum
Dahiliye,Sürekli yorgun hissediyorum
Dahiliye,Midem şişiyor
Dahiliye,Bazen başımda zonklama oluyor
Dahiliye,Bacaklarımda kramp giriyor
Dahiliye,Bazen nefesim daralıyor
Dahiliye,Ateşim normalden yüksek
Dahiliye,karnım bölgemde şişlik
Dahiliye,Sürekli baş dönmesi yaşıyorum
Dahiliye,Bazen sırtımda gerginlik oluyor
Dahiliye,Vücudumda kaşıntı hissediyorum
Dahiliye,Gece terlemem artmış durumda
Dahiliye,Ağzımda acı bir tat
Dahiliye,Sürekli sinirlilik hali yaşıyorum
Dahiliye,Gözlerimde kızarıklık
Dahiliye,Bazen mide bulantısı oluyor
Dahiliye,Bacaklarımda uyuşma hissediyorum
Dahiliye,Çok fazla su içiyorum
Dahiliye,Bazen mide ekşimesi yaşıyorum
Dahiliye,Yemeklerden sonra şişkinlik hissediyorum
Dahiliye,Vücudumda sivilceler çıkmaya başladı
Dahiliye,İştahım çok azaldı
Dahiliye,Bazen karnım ağrısı oluyor
Dahiliye,Kendimi güçsüz hissediyorum
Dahiliye,Bazen kulaklarımda basınç hissediyorum
Dahiliye,Çok fazla terliyorum
Dahiliye,Gözlerimde yanma hissi
Dahiliye,karnım bölgemde ağrı
Dahiliye,Vücudumda ağrı hissediyorum
Dahiliye,Baş dönmesi yaşıyorum
Dahiliye,Sürekli halsizim
Dahiliye,Bazen gece terliyorum
Dahiliye,Bacaklarımda şişlik
Dahiliye,Mide bulantısı yaşıyorum
Dahiliye,Bazen başımda basınç hissediyorum
Dahiliye,Sürekli gaz çıkartıyorum
Dahiliye,Vücudumda karıncalanma hissediyorum
Dahiliye,Sürekli susuzluk hissediyorum
Dahiliye,Yemek sonrası hazımsızlık yaşıyorum
Dahiliye,Ağır bir şeyler yiyince mide ağrım oluyor
Dahiliye,Bazen gözlerimde bulanıklık oluyor
Dahiliye,Sürekli uykusuzluk yaşıyorum
Dahiliye,Bazen ellerimde titreme oluyor
Dahiliye,Mide asidim yüksek
Dahiliye,Bazen sırtımda kas ağrıları oluyor
Dahiliye,Bazen mide ağrılarım çok şiddetli
Dahiliye,Bacaklarımda şişlik ve ağrı
Dahiliye,Bazen çok yorgun hissediyorum
Dahiliye,Sürekli aç hissediyorum
Göz Hastalıkları,Gözlerimde kaşıntı
Göz Hastalıkları,Görme kaybı yaşıyorum
Göz Hastalıkları,Gözlerimde ağrı hissediyorum
Göz Hastalıkları,Görme bulanıklığı
Göz Hastalıkları,Gözlerimde kuruluk hissediyorum
Göz Hastalıkları,Gözlerimde ağrı
Göz Hastalıkları,Işığa karşı hassasiyetim arttı
Göz Hastalıkları,Gözlerimde kızarıklık oluştu
Göz Hastalıkları,Gece görüşümde zorluk çekiyorum
Göz Hastalıkları,Gözümde batma hissediyorum
Göz Hastalıkları,Görme yetim azalıyor
Göz Hastalıkları,Gözlerimde şişlik
Göz Hastalıkları,Baş ağrısı ile birlikte gözlerimde ağrı hissediyorum
Göz Hastalıkları,Gözlerde yanma hissediyorum
Göz Hastalıkları,Gözlerimdeki kırmızılık geçmiyor
Göz Hastalıkları,Gözlerde yanma ve batma oluyor
Göz Hastalıkları,Gözlerimde net göremiyorum
Göz Hastalıkları,Gözlerimde sisli bir görüntü
Göz Hastalıkları,Bazen gözlerimde bulanıklık oluyor
Göz Hastalıkları,Gözlerimde acı
Göz Hastalıkları,Bir gözümde görme kaybı
Göz Hastalıkları,Gözlerim çok sulanıyor
Göz Hastalıkları,Bir gözümde ağrı hissediyorum
Göz Hastalıkları,Işığa duyarlılığım arttı
Göz Hastalıkları,Gözlerimde kabarcıklar oluştu
Göz Hastalıkları,Gözlerimde sürekli sulanma
Göz Hastalıkları,Yüksek sesle gözlerim daha çok ağrıyor
Göz Hastalıkları,Bazen gözümde netlik kaybı oluyor
Göz Hastalıkları,Gözlerimdeki acı geçmiyor
Göz Hastalıkları,Görmem bulanıklaşıyor
Göz Hastalıkları,Gözlerimdeki ağrı zaman zaman şiddetleniyor
Göz Hastalıkları,Gözümde sürekli batma hissediyorum
Göz Hastalıkları,Gözlerimdeki kuru hissi geçmiyor
Göz Hastalıkları,Görmemde sorunlar yaşıyorum
Göz Hastalıkları,Gözlerimde ağrı hissi artıyor
Göz Hastalıkları,Işığa karşı hassasiyetim çok arttı
Göz Hastalıkları,Gözümde siyah noktalar görmeye başladım
Göz Hastalıkları,Gözlerimdeki kızarıklık geçmiyor
Göz Hastalıkları,Bazen gözümde ağrı oluyor
Göz Hastalıkları,Gözlerimde bulanıklık hissediyorum
Göz Hastalıkları,Bazen gözlerimde yanma oluyor
Göz Hastalıkları,Gözlerimdeki ağrı şiddetli
Göz Hastalıkları,Bazen gözlerimdeki görme kaybı artıyor
Göz Hastalıkları,Işığa bakarken zorlanıyorum
Göz Hastalıkları,Gözlerimdeki kuruluk hissi çok rahatsız edici
Göz Hastalıkları,Gözlerimde kaşıntı oluyor
Göz Hastalıkları,Gözlerimde bulanıklık ve netlik kaybı yaşıyorum
Göz Hastalıkları,Gözlerimde kanlanma
Göz Hastalıkları,Gözlerimde batma hissi hissediyorum
Göz Hastalıkları,Bazen gözlerimdeki ağrı dayanılmaz oluyor
Göz Hastalıkları,Görmemde ani değişiklikler hissediyorum
Göz Hastalıkları,Bazen gözümde netlik kaybı oluyor
Göz Hastalıkları,Gözlerimde batma ve kuruluk
Göz Hastalıkları,Gözlerimle ilgili şikayetim
Göz Hastalıkları,Gözlerimdeki ağrı geçmiyor
Göz Hastalıkları,Görmemde bozulmalar oluyor
Göz Hastalıkları,Gözlerim çok ağrıyor
Göz Hastalıkları,Işığa duyarlılığım arttı
Göz Hastalıkları,Gözlerimde sisli görme
Göz Hastalıkları,Gözlerimdeki şişlik artıyor
Göz Hastalıkları,Gözlerimdeki ağrı şiddetli oluyor
Göz Hastalıkları,Görme kaybı yaşıyorum zaman zaman
Göz Hastalıkları,Gözümde rahatsızlık hissediyorum
Göz Hastalıkları,Bazen gözlerimde acı oluyor
Göz Hastalıkları,Gözlerimde kuruluk ve batma
Göz Hastalıkları,Bazen gözümde kararma oluyor
Göz Hastalıkları,Gözlerimde ağrı artıyor
Göz Hastalıkları,Gözlerimde sulanma oluyor
Göz Hastalıkları,Gözlerimdeki kızarıklık artıyor
Göz Hastalıkları,Görmemde zorlanıyorum
Göz Hastalıkları,Gözlerimde kuruluk ve batma
Göz Hastalıkları,Bazen gözlerimde bulanıklık oluyor
Göz Hastalıkları,Gözümde ışık hassasiyeti artıyor
Göz Hastalıkları,Bazen gözlerimde siyah noktalar görmeye başlıyorum
Göz Hastalıkları,Gözlerimdeki ağrı dayanılmaz
Göz Hastalıkları,Gözlerimde batma ve yanma hissediyorum
Göz Hastalıkları,Gözlerimde bulanık görme oluyor
Göz Hastalıkları,Bazen gözlerimde netlik kaybı oluyor
Göz Hastalıkları,Gözlerimdeki ağrı devam ediyor
Göz Hastalıkları,Görme kaybım arttı
Göz Hastalıkları,Gözlerimdeki ağrı şiddetli
Göz Hastalıkları,Bazen gözlerimde kaşıntı oluyor
Göz Hastalıkları,Bazen gözümde ağrı oluyor
Göz Hastalıkları,Gözlerimde bulanıklık görüyorum
Göz Hastalıkları,Gözlerimdeki kuruluk çok fazla
Göz Hastalıkları,Gözlerimdeki ağrı geçmiyor
Göz Hastalıkları,Gözlerimde sürekli kaşıntı
Göz Hastalıkları,Bazen gözlerimde bulanıklık oluyor
Göz Hastalıkları,Gözlerimde acı hissediyorum
Göz Hastalıkları,Bazen gözlerimde rahatsızlık oluyor
Göz Hastalıkları,Gözlerimdeki acı arttı
Göz Hastalıkları,Gözlerimde kuruluk ve yanma
Göz Hastalıkları,Bazen gözlerimde kararma oluyor
Göz Hastalıkları,Gözlerimdeki ağrı dayanılmaz
Göz Hastalıkları,Gözlerimdeki ağrı şiddetli
Göz Hastalıkları,Gözlerimde netlik kaybı
Göz Hastalıkları,Gözlerimde ağrı ve kuruluk hissediyorum
Göz Hastalıkları,Bazen gözlerimde kararma oluyor
Göz Hastalıkları,Gözlerimde kaşıntı
Göz Hastalıkları,Gözlerimde ağrı ve sulanma
Göz Hastalıkları,Bazen gözümde bulanıklık oluyor
Göz Hastalıkları,Gözlerimde kuruluk hissediyorum
Göz Hastalıkları,Bazen gözlerimde yanma oluyor
Psikiyatri,Depresyon hissediyorum
Psikiyatri,Kendimi yalnız hissediyorum
Psikiyatri,Sürekli stres altındayım
Psikiyatri,Endişe seviyem çok yüksek
Psikiyatri,Kendimi umutsuz hissediyorum
Psikiyatri,Sosyal durumlarda zorlanıyorum
Psikiyatri,Bir şeylere odaklanmakta güçlük çekiyorum
Psikiyatri,Bazen kendimi değersiz hissediyorum
Psikiyatri,Sürekli kaygılıyım
Psikiyatri,Kendimi çaresiz hissediyorum
Psikiyatri,Sürekli depresif ruh halindeyim
Psikiyatri,Açıkça korkularım
Psikiyatri,Kendimi mutsuz hissediyorum
Psikiyatri,Çok çabuk sinirleniyorum
Psikiyatri,İçimde boşluk hissi
Psikiyatri,Kendimi fazlasıyla üzgün hissediyorum
Psikiyatri,Bazen çok üzülüyorum
Psikiyatri,Sürekli olumsuz düşüncelerim
Psikiyatri,Uykusuzluktan şikayetçiyim
Psikiyatri,Her şeyden korkuyorum
Psikiyatri,Sosyal etkileşimlerde zorlanıyorum
Psikiyatri,Hayata karşı ilgimi kaybettim
Psikiyatri,Bazen kendimi kaybolmuş gibi hissediyorum
Psikiyatri,İçimde bir boşluk
Psikiyatri,Konsantrasyonum çok zayıf
Psikiyatri,Gelecek hakkında endişelerim
Psikiyatri,Bazen anksiyete krizleri geçiriyorum
Psikiyatri,Sürekli olarak yorgun hissediyorum
Psikiyatri,Hayattan zevk almıyorum
Psikiyatri,Bazen başımın karıştığını hissediyorum
Psikiyatri,Bir şeylere karar vermekte zorlanıyorum
Psikiyatri,Bazen çok kaygılı oluyorum
Psikiyatri,Sosyal durumlarda rahat hissedemiyorum
Psikiyatri,Sürekli üzülüyorum
Psikiyatri,Kendimi anlamıyorum
Psikiyatri,Bazen aşırı sinirli oluyorum
Psikiyatri,Huzursuz hissediyorum
Psikiyatri,Düşüncelerim birbirine karışıyor
Psikiyatri,Kendimi stresli hissediyorum
Psikiyatri,Bazen her şeyin kontrolünü kaybediyorum
Psikiyatri,Kendimi değersiz hissediyorum
Psikiyatri,Bazen hayattan kaçmak istiyorum
Psikiyatri,Kendimi içe kapanmış gibi hissediyorum
Psikiyatri,Daha çok yalnız kalmak istiyorum
Psikiyatri,Başımda sürekli yoğun düşünceler
Psikiyatri,Sürekli huzursuz hissediyorum
Psikiyatri,Bazen durduk yere ağlıyorum
Psikiyatri,Kendimi kimseyle paylaşamıyorum
Psikiyatri,Çok karamsar hissediyorum
Psikiyatri,Bazen çok sinirli oluyorum
Psikiyatri,Kendimi aşırı tedirgin hissediyorum
Psikiyatri,Bazen kendimi kaybolmuş hissediyorum
Psikiyatri,Sürekli bir boşluk içinde
Psikiyatri,Bazen hiç bir şey yapmak istemiyorum
Psikiyatri,Sosyal ortamlardan kaçıyorum
Psikiyatri,Bazen her şey çok karmaşık geliyor
Psikiyatri,Kendimi her şeyden uzak hissediyorum
Psikiyatri,Kendimi tükenmiş hissediyorum
Psikiyatri,Bazen iştahım kayboluyor
Psikiyatri,Bir şeylere odaklanmak çok zor
Psikiyatri,Bazen kendimi çok yalnız hissediyorum
Psikiyatri,Sürekli karamsar düşünüyorum
Psikiyatri,Günlük işleri yapmakta zorlanıyorum
Psikiyatri,Bazen çok korkuyorum
Psikiyatri,Kendimi aşırı gergin hissediyorum
Psikiyatri,Her şeyin kötü olacağını düşünüyorum
Psikiyatri,Bir şeyler doğru gitmiyor gibi hissediyorum
Psikiyatri,Sürekli bir kaygı
Psikiyatri,Çok sık depresif hissediyorum
Psikiyatri,Bazen içimde bir sıkıntı hissediyorum
Psikiyatri,Kendimi güçsüz hissediyorum
Psikiyatri,Hayatımda hiçbir şey yolunda gitmiyor
Psikiyatri,Çok fazla endişeliyim
Psikiyatri,Bazen kendimi kaybolmuş gibi hissediyorum
Psikiyatri,Kendimi tedirgin hissediyorum
Psikiyatri,Bazen her şey çok karamsar geliyor
Psikiyatri,Sosyal aktivitelerden kaçıyorum
Psikiyatri,Kendimi çok stresli hissediyorum
Psikiyatri,Bazen uyumakta zorlanıyorum
Psikiyatri,Sürekli olarak kötü düşüncelerim
Psikiyatri,Bazen aşırı kaygılı oluyorum
Psikiyatri,Hayatımın kontrolünü kaybettim
Psikiyatri,Güven duygum yok
Psikiyatri,Bazen kendimi tükenmiş hissediyorum
Psikiyatri,Bazen her şeyden çok yoruluyorum
Psikiyatri,Bazen hiçbir şey yapmak istemiyorum
Psikiyatri,Hayatımda hiçbir şeyin anlamı yokmuş gibi hissediyorum
Psikiyatri,Günlük rutinimi yerine getirmekte zorlanıyorum
Psikiyatri,Bazen hayattan keyif almak zor oluyor
Psikiyatri,Kendimi sıkışmış gibi hissediyorum
Psikiyatri,Bazen kendimi gerçekten kötü hissediyorum
Psikiyatri,Bir şeylere karar veremiyorum
Psikiyatri,Her şey çok karmaşık ve zor geliyor
Psikiyatri,Kendimi kaybolmuş hissediyorum
Psikiyatri,Bazen hayatımı sorguluyorum
Psikiyatri,Her şey bana karamsar görünüyor
Psikiyatri,Bazen her şey çok ağır geliyor
Psikiyatri,Bazen duygusal olarak çökmüş hissediyorum
Psikiyatri,Günlük işlerle ilgili motivasyonum yok
Psikiyatri,Bazen hep kaygılı hissediyorum
Psikiyatri,Bazen kendimi depresif hissediyorum
Psikiyatri,Bir şeylere odaklanmakta zorlanıyorum
Diş Hekimliği,Dişimde ağrı
Diş Hekimliği,Diş etlerim şişti
Diş Hekimliği,Dişlerim hassas
Diş Hekimliği,Dişimde çürük
